,datetime,cars
0,,
1,2021 12 12 01 11 54,0.0
2,2021 12 12 01 20 00,2.0
3,2021 12 12 01 23 00,0.0
4,2021 12 12 01 24 00,0.0
5,2021 12 12 01 30 01,2.0
6,2021 12 12 01 40 01,10.0
7,2021 12 12 01 50 01,0.0
8,2021 12 12 02 00 01,0.0
9,2021 12 12 02 10 01,0.0
10,2021 12 12 02 20 01,0.0
11,2021 12 12 02 29 56,0.0
12,2021 12 12 02 40 01,0.0
13,2021 12 12 02 50 01,0.0
14,2021 12 12 03 00 01,0.0
15,2021 12 12 03 10 01,0.0
16,2021 12 12 03 20 01,0.0
17,2021 12 12 03 30 01,0.0
18,2021 12 12 03 40 01,0.0
19,2021 12 12 03 50 01,0.0
20,2021 12 12 04 00 01,0.0
21,2021 12 12 04 09 56,0.0
22,2021 12 12 04 20 01,0.0
23,2021 12 12 04 30 01,0.0
24,2021 12 12 04 40 01,0.0
25,2021 12 12 04 50 01,0.0
26,2021 12 12 05 00 01,0.0
27,2021 12 12 05 10 01,0.0
28,2021 12 12 05 20 01,0.0
29,2021 12 12 05 30 01,0.0
30,2021 12 12 05 40 01,0.0
31,2021 12 12 05 50 01,0.0
32,2021 12 12 06 00 01,0.0
33,2021 12 12 06 09 56,0.0
34,2021 12 12 06 20 01,0.0
35,2021 12 12 08 00 01,16.0
36,2021 12 12 08 10 01,54.0
37,2021 12 12 08 20 01,58.0
38,2021 12 12 08 30 01,64.0
39,2021 12 12 08 40 01,101.0
40,2021 12 12 08 50 01,143.0
41,2021 12 12 09 00 01,162.0
42,2021 12 12 09 10 01,160.0
43,2021 12 12 09 20 01,354.0
44,2021 12 12 09 30 01,419.0
45,2021 12 12 09 40 01,360.0
46,2021 12 12 09 50 01,445.0
47,2021 12 12 10 00 01,312.0
48,2021 12 12 10 10 01,210.0
49,2021 12 12 10 19 56,221.0
50,2021 12 12 10 29 56,176.0
51,2021 12 12 10 40 01,276.0
52,2021 12 12 10 50 01,300.0
53,2021 12 12 10 59 56,346.0
54,2021 12 12 11 10 01,282.0
55,2021 12 12 11 20 01,277.0
56,2021 12 12 11 30 01,176.0
57,2021 12 12 11 40 01,144.0
58,2021 12 12 11 50 01,307.0
59,2021 12 12 12 00 01,365.0
60,2021 12 12 12 10 01,345.0
61,2021 12 12 12 20 01,430.0
62,2021 12 12 12 30 01,957.0
63,2021 12 12 12 40 01,788.0
64,2021 12 12 12 50 01,471.0
65,2021 12 12 12 59 56,898.0
66,2021 12 12 13 10 01,586.0
67,2021 12 12 13 20 01,118.0
68,2021 12 12 13 30 01,136.0
69,2021 12 12 13 40 01,167.0
70,2021 12 12 13 50 01,131.0
71,2021 12 12 14 00 01,171.0
72,2021 12 12 14 10 01,228.0
73,2021 12 12 14 19 56,1007.0
74,2021 12 12 14 30 01,627.0
75,2021 12 12 14 40 01,1311.0
76,2021 12 12 14 50 01,748.0
77,2021 12 12 14 59 56,1204.0
78,2021 12 12 15 10 01,605.0
79,2021 12 12 15 20 01,1180.0
80,2021 12 12 15 30 01,1187.0
81,2021 12 12 15 40 01,1287.0
82,2021 12 12 15 49 56,1377.0
83,2021 12 12 16 00 01,1473.0
84,2021 12 12 16 10 01,1359.0
85,2021 12 12 16 20 01,1627.0
86,2021 12 12 16 30 01,638.0
87,2021 12 12 16 39 56,472.0
88,2021 12 12 16 50 01,178.0
89,2021 12 12 17 00 01,157.0
90,2021 12 12 17 10 01,256.0
91,2021 12 12 17 20 01,146.0
92,2021 12 12 17 30 01,165.0
93,2021 12 12 17 40 01,151.0
94,2021 12 12 17 50 01,241.0
95,2021 12 12 18 00 01,759.0
96,2021 12 12 18 10 01,611.0
97,2021 12 12 18 20 01,690.0
98,2021 12 12 18 29 56,553.0
99,2021 12 12 18 40 01,413.0
100,2021 12 12 18 49 56,493.0
101,2021 12 12 19 00 01,518.0
102,2021 12 12 19 10 01,459.0
103,2021 12 12 19 20 01,431.0
104,2021 12 12 19 30 01,428.0
105,2021 12 12 19 40 01,463.0
106,2021 12 12 19 50 01,467.0
107,2021 12 12 20 00 01,459.0
108,2021 12 12 20 10 01,331.0
109,2021 12 12 20 20 01,444.0
110,2021 12 12 20 30 01,351.0
111,2021 12 12 20 39 56,356.0
112,2021 12 12 20 50 01,321.0
113,2021 12 12 21 00 01,308.0
114,2021 12 12 21 09 56,309.0
115,2021 12 12 21 19 56,311.0
116,2021 12 12 21 30 01,312.0
117,2021 12 12 21 39 56,264.0
118,2021 12 12 21 50 01,196.0
119,2021 12 12 21 59 56,186.0
120,2021 12 12 22 10 01,239.0
121,2021 12 12 22 20 01,287.0
122,2021 12 12 22 30 01,304.0
123,2021 12 12 22 40 01,224.0
124,2021 12 12 22 49 59,288.0
125,2021 12 12 23 00 01,346.0
126,2021 12 12 23 10 01,362.0
127,2021 12 12 23 20 01,358.0
128,2021 12 12 23 30 01,271.0
129,2021 12 12 23 40 01,254.0
130,2021 12 12 23 49 56,53.0
131,2021 12 13 00 30 01,70.0
132,2021 12 13 00 39 56,241.0
133,2021 12 13 01 10 01,0.0
134,2021 12 13 01 20 01,48.0
135,2021 12 13 01 30 01,5.0
136,2021 12 13 01 40 01,104.0
137,2021 12 13 01 50 01,94.0
138,2021 12 13 02 00 01,106.0
139,2021 12 13 02 10 01,119.0
140,2021 12 13 02 20 01,129.0
141,2021 12 13 02 30 01,112.0
142,2021 12 13 02 39 56,101.0
143,2021 12 13 02 50 01,95.0
144,2021 12 13 02 59 56,75.0
145,2021 12 13 03 10 01,81.0
146,2021 12 13 03 19 56,125.0
147,2021 12 13 03 29 56,115.0
148,2021 12 13 03 40 01,137.0
149,2021 12 13 03 50 01,120.0
150,2021 12 13 04 00 01,134.0
151,2021 12 13 04 10 01,166.0
152,2021 12 13 04 20 01,170.0
153,2021 12 13 04 30 01,288.0
154,2021 12 13 04 39 56,293.0
155,2021 12 13 07 20 01,100.0
156,2021 12 13 07 30 01,1739.0
157,2021 12 13 07 40 01,2041.0
158,2021 12 13 07 50 01,2502.0
159,2021 12 13 08 00 01,2372.0
160,2021 12 13 08 10 01,2194.0
161,2021 12 13 08 20 01,1833.0
162,2021 12 13 08 30 01,1817.0
163,2021 12 13 08 39 56,1707.0
164,2021 12 13 08 50 01,1668.0
165,2021 12 13 09 00 01,1470.0
166,2021 12 13 09 10 01,1465.0
167,2021 12 13 09 20 01,1524.0
168,2021 12 13 09 30 01,1574.0
169,2021 12 13 09 40 01,1535.0
170,2021 12 13 09 50 01,1643.0
171,2021 12 13 10 00 01,1459.0
172,2021 12 13 10 10 01,1552.0
173,2021 12 13 10 19 56,1595.0
174,2021 12 13 10 30 01,1614.0
175,2021 12 13 10 40 01,1572.0
176,2021 12 13 10 50 01,1590.0
177,2021 12 13 11 00 01,1536.0
178,2021 12 13 11 10 01,1436.0
179,2021 12 13 11 19 56,1646.0
180,2021 12 13 11 29 56,1454.0
181,2021 12 13 11 39 56,1478.0
182,2021 12 13 11 49 56,1547.0
183,2021 12 13 12 00 01,1613.0
184,2021 12 13 12 10 01,1671.0
185,2021 12 13 12 20 01,1614.0
186,2021 12 13 12 30 01,1708.0
187,2021 12 13 12 39 56,1575.0
188,2021 12 13 12 50 01,1634.0
189,2021 12 13 13 00 01,1602.0
190,2021 12 13 13 10 01,1702.0
191,2021 12 13 13 20 01,1626.0
192,2021 12 13 13 30 01,1601.0
193,2021 12 13 13 40 01,1771.0
194,2021 12 13 13 50 01,1888.0
195,2021 12 13 14 00 01,1747.0
196,2021 12 13 14 10 01,1539.0
197,2021 12 13 14 20 01,1572.0
198,2021 12 13 14 30 01,1605.0
199,2021 12 13 14 40 01,1634.0
200,2021 12 13 14 50 01,1667.0
201,2021 12 13 14 59 56,1560.0
202,2021 12 13 15 09 56,1713.0
203,2021 12 13 15 20 01,2093.0
204,2021 12 13 15 30 01,2164.0
205,2021 12 13 15 39 56,2065.0
206,2021 12 13 15 50 01,2231.0
207,2021 12 13 16 00 01,2304.0
208,2021 12 13 16 10 01,2430.0
209,2021 12 13 16 20 01,2574.0
210,2021 12 13 16 30 01,2291.0
211,2021 12 13 16 40 01,2102.0
212,2021 12 13 16 49 56,2080.0
213,2021 12 13 17 00 01,2033.0
214,2021 12 13 17 10 01,2092.0
215,2021 12 13 17 20 01,2166.0
216,2021 12 13 17 29 56,2058.0
217,2021 12 13 17 40 01,1904.0
218,2021 12 13 17 50 01,1764.0
219,2021 12 13 18 00 01,1734.0
220,2021 12 13 18 09 56,1453.0
221,2021 12 13 18 20 01,1612.0
222,2021 12 13 18 30 01,1438.0
223,2021 12 13 18 40 01,1317.0
224,2021 12 13 18 50 01,999.0
225,2021 12 13 19 00 01,669.0
226,2021 12 13 19 10 01,350.0
227,2021 12 13 19 20 01,307.0
228,2021 12 13 19 30 01,140.0
229,2021 12 13 19 40 01,24.0
230,2021 12 13 19 50 01,25.0
231,2021 12 13 20 00 01,16.0
232,2021 12 13 20 09 56,11.0
233,2021 12 13 20 20 01,19.0
234,2021 12 13 20 30 01,55.0
235,2021 12 13 20 40 01,15.0
236,2021 12 13 20 49 56,26.0
237,2021 12 13 21 00 01,22.0
238,2021 12 13 21 10 01,33.0
239,2021 12 13 21 19 56,36.0
240,2021 12 13 21 30 01,29.0
241,2021 12 13 21 39 56,23.0
242,2021 12 13 21 49 56,27.0
243,2021 12 13 22 00 01,35.0
244,2021 12 13 22 10 01,30.0
245,2021 12 13 22 20 01,24.0
246,2021 12 13 22 29 56,7.0
247,2021 12 13 22 40 01,13.0
248,2021 12 13 22 49 56,62.0
249,2021 12 13 23 00 01,31.0
